District,Latitude,Longitude,Date of Harvest,date,ndvi,savi,evi,rep,osavi,rdvi,mtvi1,lswi
Chau_Phu,10.510542,105.248554,15-07-2022,14-07-2022,-0.3778956057700738,-0.37786255419997067,0.004599605315256481,-0.0063182513653447965,-0.3778850285964537,-0.17822075037073576,0.1710996019083013,0.6539325788462022
Chau_Phu,10.510542,105.248554,15-07-2022,09-07-2022,0.7995117832873296,0.7995740878487494,0.012743174869467863,0.013119219493310016,0.7995317235224418,1.0293561042228718,1.1475030659108154,0.5796481764196894
Chau_Phu,10.510542,105.248554,15-07-2022,04-07-2022,-0.6280801210477172,-0.6280524039999831,0.004865602637120614,-0.011813034033001423,-0.6280712514076303,-0.3948521086138994,0.01155114221551502,0.1588680940668763
Chau_Phu,10.510542,105.248554,15-07-2022,29-06-2022,-0.4047528694924367,-0.40471897573341803,0.004602658346982908,-0.00018938169713990767,-0.4047420228681049,-0.1861798761055044,0.15285162639889582,1.1795012488814534
Chau_Phu,10.510542,105.248554,15-07-2022,24-06-2022,0.7959557075626345,0.7959991438840575,0.015697464466701266,0.01369901540388412,0.7959696097726171,0.8888473243526798,0.8493434092429597,0.34110188449786605
Chau_Phu,10.510542,105.248554,15-07-2022,19-06-2022,0.23357079747308154,0.2336367994860057,0.0017884858707044597,0.017852756054484973,0.23359191995014827,0.6244451259922699,1.1524640272439897,0.4156363348321133
Chau_Phu,10.510542,105.248554,15-07-2022,14-06-2022,0.8942146858792933,0.8943006154247557,0.023600507888161728,0.014610024357920585,0.8942421863943469,1.3179778091760768,1.7091586182627654,0.6208410939539448
Chau_Phu,10.510542,105.248554,15-07-2022,09-06-2022,0.9457998724379926,0.9458261854196135,0.010800558255393475,0.014458535222958783,0.9458082951485896,0.9196795511727613,0.7072877036776368,0.08342925186231598
Chau_Phu,10.510542,105.248554,15-07-2022,04-06-2022,0.9936366270610207,0.9936647063176086,0.010721639942496029,0.00996228878194837,0.9936456150725805,0.9728797220572645,0.8016449272657847,0.10305712872041181
Chau_Phu,10.510542,105.248554,15-07-2022,30-05-2022,-0.5031758562619034,-0.5031426658236446,0.004092985464970315,0.008334199310855855,-0.5031652348938215,-0.2524660461819355,0.09677535958216452,-0.32130302254317716
Chau_Phu,10.510542,105.248554,15-07-2022,25-05-2022,0.8864442890915024,0.8864755456072821,0.01036615468994541,0.008238294231813057,0.8864542937285359,0.8941392412088401,0.7780881532663299,-0.16943504101024143
Chau_Phu,10.510542,105.248554,15-07-2022,20-05-2022,0.5027678693804349,0.502791502832963,0.014123510645768634,0.010932095817284111,0.502775433997156,0.5036829846913656,0.418749484717293,-0.3905447021874942
Chau_Phu,10.510542,105.248554,15-07-2022,15-05-2022,0.5397384407350245,0.539742160327292,0.011142145077583073,0.002133300829320841,0.5397396326151122,0.4326948257733803,0.2815363110146629,-0.6660695539643915
Chau_Phu,10.510542,105.248554,15-07-2022,10-05-2022,-1.1505262660764555,-1.1505311752679406,0.006051708123665568,0.0451393905846306,-1.1505278378135027,-1.1472599967231853,-0.7237316340259827,1.5029524667344938
Chau_Phu,10.510542,105.248554,15-07-2022,30-04-2022,-1.1104854041306438,-1.1104880330308855,0.005978568080599765,0.16645392739737436,-1.110486246098141,-1.093722540430033,-0.9335992623868538,-0.7287523693655947
Chau_Phu,10.510542,105.248554,15-07-2022,25-04-2022,-0.806108927716223,-0.8061147337578559,0.01025420870877003,-0.04873347904908129,-0.8061107859931488,-0.8441245576507975,-1.0477630470489279,-1.2635545685706508
Chau_Phu,10.510542,105.248554,15-07-2022,20-04-2022,-1.0167546908466127,-1.0167619202272238,0.004454579812596438,0.04771590605784653,-1.0167570048986334,-1.0433283180880095,-1.210164532645463,-0.567385850588457
Chau_Phu,10.510542,105.248554,15-07-2022,15-04-2022,-1.4893132995761327,-1.4893443741601233,0.00638421740202577,0.02312711205879585,-1.4893232448362084,-1.753229969630839,-1.8334521401527746,-0.4566232824615075
Chau_Phu,10.510542,105.248554,15-07-2022,10-04-2022,-1.0832427007242174,-1.0832495748630042,0.005873008799141295,0.06386468530883693,-1.0832449011768197,-1.1027521642195448,-1.1844258563965955,-0.9415006384055733
Chau_Phu,10.510542,105.248554,15-07-2022,05-04-2022,0.30631455551075126,0.3063451955685137,0.008335964331411419,-0.002098783710835951,0.30632436206044955,0.37105104081088536,0.18788191214605807,-0.35680307151422286
Chau_Phu,10.510542,105.248554,15-07-2022,31-03-2022,0.29943373434426146,0.29948894221115646,0.014776255246404598,0.0037806898769137936,0.2994514027844494,0.5581979003148326,0.7512710740853067,-0.10322369381178174
Chau_Phu,10.510542,105.248554,15-07-2022,26-03-2022,-0.6718462862747593,-0.6718212991926014,0.0047008360362389996,-0.0379397207374896,-0.671838290305795,-0.45786086268724824,-0.14623592485533687,-1.0784071463498623
Chau_Phu,10.510542,105.248554,15-07-2022,21-03-2022,-0.10538049568310857,-0.10535355157424814,-0.05895867184922125,0.005417905160225999,-0.10537187248184014,-0.015009526107552698,0.0024503827849097176,-0.33007502037799236
Chau_Phu,10.510542,105.248554,15-07-2022,16-03-2022,-1.151253383874412,-1.1512582954978308,0.006055524613738208,0.07526087827849856,-1.1512549563913936,-1.1472781091539737,-0.5113638264001826,-0.26490430461712156
Chau_Phu,10.50915,105.265098,15-07-2022,14-07-2022,0.15958763810959037,0.1596211395979966,-0.0676382871689593,0.003575020632262533,0.15959836013314485,0.2621270876959968,0.310621887917193,0.4319345921936989
Chau_Phu,10.50915,105.265098,15-07-2022,09-07-2022,0.5713088894757256,0.5713483420167002,0.012052477768608273,0.011280308911149584,0.5713215165051263,0.6638845574855964,0.6189575375409366,0.18052788831559557
Chau_Phu,10.50915,105.265098,15-07-2022,04-07-2022,-0.7510128212906486,-0.7509907306140565,0.005395804575874977,-0.034205143818105285,-0.7510057523314693,-0.5332542416956042,0.006294516500403446,0.30407519664029836
Chau_Phu,10.50915,105.265098,15-07-2022,29-06-2022,-0.629056749707247,-0.6290297831476945,0.0052513118551870686,-0.020207940893195636,-0.6290481202222981,-0.4078462081539474,0.07423456589209447,1.3365674826921743
Chau_Phu,10.50915,105.265098,15-07-2022,24-06-2022,0.7531971705923981,0.7532143807094874,0.011849225559706866,0.012971095021829623,0.7532026799753697,0.6953885228372636,0.48055005716609167,0.20854049475665087
Chau_Phu,10.50915,105.265098,15-07-2022,19-06-2022,-1.2889723629965035,-1.2889887530491357,0.006183379271462811,0.03314972839919415,-1.2889776088427922,-1.4306512035767993,-0.8895824557861534,0.3801239448951668
Chau_Phu,10.50915,105.265098,15-07-2022,14-06-2022,0.7574854251676758,0.7575448682517215,0.01238563900902337,0.0127478545676625,0.7575044496421982,0.9711106740021541,1.0397905704567092,0.22433462462971282
