District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),date,red,green,blue,rededge1,rededge2,rededge3,nir,swir
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,14-07-2022,3709.173583984375,4139.0107421875,4341.86328125,4399.5947265625,5054.5947265625,5302.484375,5353.73681640625,3045.631591796875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,09-07-2022,1968.8973388671875,2247.484130859375,1981.8131103515625,2682.036865234375,4326.689453125,5340.00537109375,5170.64208984375,3020.35791015625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,04-07-2022,5219.58935546875,5604.083984375,5817.9892578125,5988.6787109375,6534.6474609375,6799.37890625,6713.35791015625,4366.5947265625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,29-06-2022,3947.779052734375,4336.96826171875,4578.11572265625,4670.9580078125,5371.2158203125,5825.91064453125,5631.64208984375,2735.821044921875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,24-06-2022,1776.8026123046875,2022.4736328125,1869.097412109375,2280.868408203125,3894.779052734375,4734.10009765625,4594.689453125,2879.036865234375
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,19-06-2022,3135.2919921875,3609.99462890625,3724.89990234375,3682.6474609375,5281.65771484375,6455.4580078125,6187.13134765625,3761.23681640625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,14-06-2022,2251.036865234375,2630.052734375,2503.781494140625,2891.468505859375,5071.0,6281.75244140625,6173.083984375,3539.315673828125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,09-06-2022,1452.4658203125,1615.8736572265625,1378.85791015625,1933.152587890625,3411.084228515625,4269.7421875,4161.12646484375,2776.578857421875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,04-06-2022,1426.0052490234375,1643.747314453125,1350.286865234375,2019.7158203125,3625.08935546875,4320.13671875,4217.7421875,2794.368408203125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,30-05-2022,4630.3896484375,4945.89453125,5061.54736328125,5273.42626953125,6103.2841796875,6728.0,6331.84228515625,4700.81591796875
